,date,PM 2.5,Station
0,2021-01-01,13.0,Provence-Alpes-Côte d'Azur
1,2021-01-02,15.0,Provence-Alpes-Côte d'Azur
2,2021-01-03,15.0,Provence-Alpes-Côte d'Azur
3,2021-01-04,18.0,Provence-Alpes-Côte d'Azur
4,2021-01-05,33.0,Provence-Alpes-Côte d'Azur
5,2021-01-06,31.0,Provence-Alpes-Côte d'Azur
6,2021-01-07,15.0,Provence-Alpes-Côte d'Azur
7,2021-01-08,21.0,Provence-Alpes-Côte d'Azur
8,2021-01-09,31.0,Provence-Alpes-Côte d'Azur
9,2021-01-10,35.0,Provence-Alpes-Côte d'Azur
10,2021-01-11,30.0,Provence-Alpes-Côte d'Azur
11,2021-01-12,37.0,Provence-Alpes-Côte d'Azur
12,2021-01-13,39.0,Provence-Alpes-Côte d'Azur
13,2021-01-14,53.0,Provence-Alpes-Côte d'Azur
14,2021-01-15,44.0,Provence-Alpes-Côte d'Azur
15,2021-01-16,50.0,Provence-Alpes-Côte d'Azur
16,2021-01-17,33.0,Provence-Alpes-Côte d'Azur
17,2021-01-18,31.0,Provence-Alpes-Côte d'Azur
18,2021-01-19,31.0,Provence-Alpes-Côte d'Azur
19,2021-01-20,27.0,Provence-Alpes-Côte d'Azur
20,2021-01-21,20.0,Provence-Alpes-Côte d'Azur
21,2021-01-22,14.0,Provence-Alpes-Côte d'Azur
22,2021-01-23,14.0,Provence-Alpes-Côte d'Azur
23,2021-01-24,16.0,Provence-Alpes-Côte d'Azur
24,2021-01-25,10.0,Provence-Alpes-Côte d'Azur
25,2021-01-26,17.0,Provence-Alpes-Côte d'Azur
26,2021-01-27,25.0,Provence-Alpes-Côte d'Azur
27,2021-01-28,34.0,Provence-Alpes-Côte d'Azur
28,2021-01-29,26.0,Provence-Alpes-Côte d'Azur
29,2021-01-30,14.0,Provence-Alpes-Côte d'Azur
30,2021-01-31,19.0,Provence-Alpes-Côte d'Azur
31,2021-02-01,21.0,Provence-Alpes-Côte d'Azur
32,2021-02-02,27.0,Provence-Alpes-Côte d'Azur
33,2021-02-03,32.0,Provence-Alpes-Côte d'Azur
34,2021-02-04,48.0,Provence-Alpes-Côte d'Azur
35,2021-02-05,42.0,Provence-Alpes-Côte d'Azur
36,2021-02-06,46.0,Provence-Alpes-Côte d'Azur
37,2021-02-07,40.0,Provence-Alpes-Côte d'Azur
38,2021-02-08,11.0,Provence-Alpes-Côte d'Azur
39,2021-02-09,17.0,Provence-Alpes-Côte d'Azur
40,2021-02-10,22.0,Provence-Alpes-Côte d'Azur
41,2021-02-11,30.0,Provence-Alpes-Côte d'Azur
42,2021-02-12,35.0,Provence-Alpes-Côte d'Azur
43,2021-02-13,31.0,Provence-Alpes-Côte d'Azur
44,2021-02-14,21.0,Provence-Alpes-Côte d'Azur
45,2021-02-15,25.0,Provence-Alpes-Côte d'Azur
46,2021-02-16,25.0,Provence-Alpes-Côte d'Azur
47,2021-02-17,29.0,Provence-Alpes-Côte d'Azur
48,2021-02-18,34.0,Provence-Alpes-Côte d'Azur
49,2021-02-19,41.0,Provence-Alpes-Côte d'Azur
50,2021-02-20,44.0,Provence-Alpes-Côte d'Azur
51,2021-02-21,42.0,Provence-Alpes-Côte d'Azur
52,2021-02-22,48.0,Provence-Alpes-Côte d'Azur
53,2021-02-23,59.0,Provence-Alpes-Côte d'Azur
54,2021-02-24,86.0,Provence-Alpes-Côte d'Azur
55,2021-02-25,102.0,Provence-Alpes-Côte d'Azur
56,2021-02-26,69.0,Provence-Alpes-Côte d'Azur
57,2021-02-27,76.0,Provence-Alpes-Côte d'Azur
58,2021-02-28,58.0,Provence-Alpes-Côte d'Azur
59,2021-03-01,40.0,Provence-Alpes-Côte d'Azur
60,2021-03-02,45.0,Provence-Alpes-Côte d'Azur
61,2021-03-03,46.0,Provence-Alpes-Côte d'Azur
62,2021-03-04,53.0,Provence-Alpes-Côte d'Azur
63,2021-03-05,76.0,Provence-Alpes-Côte d'Azur
64,2021-03-06,65.0,Provence-Alpes-Côte d'Azur
65,2021-03-07,37.0,Provence-Alpes-Côte d'Azur
66,2021-03-08,43.0,Provence-Alpes-Côte d'Azur
67,2021-03-09,42.0,Provence-Alpes-Côte d'Azur
68,2021-03-10,38.0,Provence-Alpes-Côte d'Azur
69,2021-03-11,51.0,Provence-Alpes-Côte d'Azur
70,2021-03-12,33.0,Provence-Alpes-Côte d'Azur
71,2021-03-13,15.0,Provence-Alpes-Côte d'Azur
72,2021-03-14,9.0,Provence-Alpes-Côte d'Azur
73,2021-03-15,13.0,Provence-Alpes-Côte d'Azur
74,2021-03-16,22.0,Provence-Alpes-Côte d'Azur
75,2021-03-17,29.574744661095636,Provence-Alpes-Côte d'Azur
76,2021-03-18,29.574744661095636,Provence-Alpes-Côte d'Azur
77,2021-03-19,66.0,Provence-Alpes-Côte d'Azur
78,2021-03-20,30.0,Provence-Alpes-Côte d'Azur
79,2021-03-21,37.0,Provence-Alpes-Côte d'Azur
80,2021-03-22,29.0,Provence-Alpes-Côte d'Azur
81,2021-03-23,26.0,Provence-Alpes-Côte d'Azur
82,2021-03-24,41.0,Provence-Alpes-Côte d'Azur
83,2021-03-25,42.0,Provence-Alpes-Côte d'Azur
84,2021-03-26,50.0,Provence-Alpes-Côte d'Azur
85,2021-03-27,42.0,Provence-Alpes-Côte d'Azur
86,2021-03-28,38.0,Provence-Alpes-Côte d'Azur
87,2021-03-29,42.0,Provence-Alpes-Côte d'Azur
88,2021-03-30,45.0,Provence-Alpes-Côte d'Azur
89,2021-03-31,40.0,Provence-Alpes-Côte d'Azur
90,2021-04-01,31.0,Provence-Alpes-Côte d'Azur
91,2021-04-02,40.0,Provence-Alpes-Côte d'Azur
92,2021-04-03,39.0,Provence-Alpes-Côte d'Azur
93,2021-04-04,27.0,Provence-Alpes-Côte d'Azur
94,2021-04-05,30.0,Provence-Alpes-Côte d'Azur
95,2021-04-06,26.0,Provence-Alpes-Côte d'Azur
96,2021-04-07,19.0,Provence-Alpes-Côte d'Azur
97,2021-04-08,19.0,Provence-Alpes-Côte d'Azur
98,2021-04-09,24.0,Provence-Alpes-Côte d'Azur
99,2021-04-10,24.0,Provence-Alpes-Côte d'Azur
100,2021-04-11,14.0,Provence-Alpes-Côte d'Azur
101,2021-04-12,22.0,Provence-Alpes-Côte d'Azur
102,2021-04-13,14.0,Provence-Alpes-Côte d'Azur
103,2021-04-14,17.0,Provence-Alpes-Côte d'Azur
104,2021-04-15,24.0,Provence-Alpes-Côte d'Azur
105,2021-04-16,16.0,Provence-Alpes-Côte d'Azur
106,2021-04-17,22.0,Provence-Alpes-Côte d'Azur
107,2021-04-18,22.0,Provence-Alpes-Côte d'Azur
108,2021-04-19,29.0,Provence-Alpes-Côte d'Azur
109,2021-04-20,24.0,Provence-Alpes-Côte d'Azur
110,2021-04-21,29.0,Provence-Alpes-Côte d'Azur
111,2021-04-22,25.0,Provence-Alpes-Côte d'Azur
112,2021-04-23,30.0,Provence-Alpes-Côte d'Azur
113,2021-04-24,31.0,Provence-Alpes-Côte d'Azur
114,2021-04-25,30.0,Provence-Alpes-Côte d'Azur
115,2021-04-26,31.0,Provence-Alpes-Côte d'Azur
116,2021-04-27,22.0,Provence-Alpes-Côte d'Azur
117,2021-04-28,31.0,Provence-Alpes-Côte d'Azur
118,2021-04-29,36.0,Provence-Alpes-Côte d'Azur
119,2021-04-30,16.0,Provence-Alpes-Côte d'Azur
120,2021-05-01,17.0,Provence-Alpes-Côte d'Azur
121,2021-05-02,14.0,Provence-Alpes-Côte d'Azur
122,2021-05-03,26.0,Provence-Alpes-Côte d'Azur
123,2021-05-04,32.0,Provence-Alpes-Côte d'Azur
124,2021-05-05,27.0,Provence-Alpes-Côte d'Azur
125,2021-05-06,23.0,Provence-Alpes-Côte d'Azur
126,2021-05-07,20.0,Provence-Alpes-Côte d'Azur
127,2021-05-08,32.0,Provence-Alpes-Côte d'Azur
128,2021-05-09,25.0,Provence-Alpes-Côte d'Azur
129,2021-05-10,33.0,Provence-Alpes-Côte d'Azur
130,2021-05-11,20.0,Provence-Alpes-Côte d'Azur
131,2021-05-12,12.0,Provence-Alpes-Côte d'Azur
132,2021-05-13,22.0,Provence-Alpes-Côte d'Azur
133,2021-05-14,20.0,Provence-Alpes-Côte d'Azur
134,2021-05-15,13.0,Provence-Alpes-Côte d'Azur
135,2021-05-16,11.0,Provence-Alpes-Côte d'Azur
136,2021-05-17,7.0,Provence-Alpes-Côte d'Azur
137,2021-05-18,26.0,Provence-Alpes-Côte d'Azur
138,2021-05-19,12.0,Provence-Alpes-Côte d'Azur
139,2021-05-20,10.0,Provence-Alpes-Côte d'Azur
140,2021-05-21,18.0,Provence-Alpes-Côte d'Azur
141,2021-05-22,22.0,Provence-Alpes-Côte d'Azur
142,2021-05-23,19.0,Provence-Alpes-Côte d'Azur
143,2021-05-24,19.0,Provence-Alpes-Côte d'Azur
144,2021-05-25,21.0,Provence-Alpes-Côte d'Azur
145,2021-05-26,21.0,Provence-Alpes-Côte d'Azur
146,2021-05-27,37.0,Provence-Alpes-Côte d'Azur
147,2021-05-28,32.0,Provence-Alpes-Côte d'Azur
148,2021-05-29,39.0,Provence-Alpes-Côte d'Azur
149,2021-05-30,33.0,Provence-Alpes-Côte d'Azur
150,2021-05-31,20.0,Provence-Alpes-Côte d'Azur
151,2021-06-01,17.0,Provence-Alpes-Côte d'Azur
152,2021-06-02,33.0,Provence-Alpes-Côte d'Azur
153,2021-06-03,28.0,Provence-Alpes-Côte d'Azur
154,2021-06-04,29.0,Provence-Alpes-Côte d'Azur
155,2021-06-05,26.0,Provence-Alpes-Côte d'Azur
156,2021-06-06,37.0,Provence-Alpes-Côte d'Azur
157,2021-06-07,31.0,Provence-Alpes-Côte d'Azur
158,2021-06-08,18.0,Provence-Alpes-Côte d'Azur
159,2021-06-09,15.0,Provence-Alpes-Côte d'Azur
160,2021-06-10,18.0,Provence-Alpes-Côte d'Azur
161,2021-06-11,28.0,Provence-Alpes-Côte d'Azur
162,2021-06-12,21.0,Provence-Alpes-Côte d'Azur
163,2021-06-13,38.0,Provence-Alpes-Côte d'Azur
164,2021-06-14,38.0,Provence-Alpes-Côte d'Azur
165,2021-06-15,44.0,Provence-Alpes-Côte d'Azur
166,2021-06-16,37.0,Provence-Alpes-Côte d'Azur
167,2021-06-17,33.0,Provence-Alpes-Côte d'Azur
168,2021-06-18,37.0,Provence-Alpes-Côte d'Azur
169,2021-06-19,31.0,Provence-Alpes-Côte d'Azur
170,2021-06-20,38.0,Provence-Alpes-Côte d'Azur
171,2021-06-21,42.0,Provence-Alpes-Côte d'Azur
172,2021-06-22,30.0,Provence-Alpes-Côte d'Azur
173,2021-06-23,15.0,Provence-Alpes-Côte d'Azur
174,2021-06-24,22.0,Provence-Alpes-Côte d'Azur
175,2021-06-25,20.0,Provence-Alpes-Côte d'Azur
176,2021-06-26,19.0,Provence-Alpes-Côte d'Azur
177,2021-06-27,23.0,Provence-Alpes-Côte d'Azur
178,2021-06-28,30.0,Provence-Alpes-Côte d'Azur
179,2021-06-29,27.0,Provence-Alpes-Côte d'Azur
180,2021-06-30,12.0,Provence-Alpes-Côte d'Azur
181,2021-07-01,29.0,Provence-Alpes-Côte d'Azur
182,2021-07-02,30.0,Provence-Alpes-Côte d'Azur
183,2021-07-03,29.0,Provence-Alpes-Côte d'Azur
184,2021-07-04,27.0,Provence-Alpes-Côte d'Azur
185,2021-07-05,18.0,Provence-Alpes-Côte d'Azur
186,2021-07-06,18.0,Provence-Alpes-Côte d'Azur
187,2021-07-07,19.0,Provence-Alpes-Côte d'Azur
188,2021-07-08,22.0,Provence-Alpes-Côte d'Azur
189,2021-07-09,9.0,Provence-Alpes-Côte d'Azur
190,2021-07-10,17.0,Provence-Alpes-Côte d'Azur
191,2021-07-11,18.0,Provence-Alpes-Côte d'Azur
192,2021-07-12,26.0,Provence-Alpes-Côte d'Azur
193,2021-07-13,23.0,Provence-Alpes-Côte d'Azur
194,2021-07-14,10.0,Provence-Alpes-Côte d'Azur
195,2021-07-15,20.0,Provence-Alpes-Côte d'Azur
196,2021-07-16,16.0,Provence-Alpes-Côte d'Azur
197,2021-07-17,9.0,Provence-Alpes-Côte d'Azur
198,2021-07-18,23.0,Provence-Alpes-Côte d'Azur
199,2021-07-19,25.0,Provence-Alpes-Côte d'Azur
200,2021-07-20,26.0,Provence-Alpes-Côte d'Azur
201,2021-07-21,39.0,Provence-Alpes-Côte d'Azur
202,2021-07-22,42.0,Provence-Alpes-Côte d'Azur
203,2021-07-23,36.0,Provence-Alpes-Côte d'Azur
204,2021-07-24,38.0,Provence-Alpes-Côte d'Azur
205,2021-07-25,35.0,Provence-Alpes-Côte d'Azur
206,2021-07-26,46.0,Provence-Alpes-Côte d'Azur
207,2021-07-27,39.0,Provence-Alpes-Côte d'Azur
208,2021-07-28,30.0,Provence-Alpes-Côte d'Azur
209,2021-07-29,35.0,Provence-Alpes-Côte d'Azur
210,2021-07-30,40.0,Provence-Alpes-Côte d'Azur
211,2021-07-31,32.0,Provence-Alpes-Côte d'Azur
212,2021-08-01,22.0,Provence-Alpes-Côte d'Azur
213,2021-08-02,17.0,Provence-Alpes-Côte d'Azur
214,2021-08-03,19.0,Provence-Alpes-Côte d'Azur
215,2021-08-04,26.0,Provence-Alpes-Côte d'Azur
216,2021-08-05,20.0,Provence-Alpes-Côte d'Azur
217,2021-08-06,21.0,Provence-Alpes-Côte d'Azur
218,2021-08-07,22.0,Provence-Alpes-Côte d'Azur
219,2021-08-08,24.0,Provence-Alpes-Côte d'Azur
220,2021-08-09,16.0,Provence-Alpes-Côte d'Azur
221,2021-08-10,26.0,Provence-Alpes-Côte d'Azur
222,2021-08-11,30.0,Provence-Alpes-Côte d'Azur
223,2021-08-12,44.0,Provence-Alpes-Côte d'Azur
224,2021-08-13,49.0,Provence-Alpes-Côte d'Azur
225,2021-08-14,50.0,Provence-Alpes-Côte d'Azur
226,2021-08-15,49.0,Provence-Alpes-Côte d'Azur
227,2021-08-16,49.0,Provence-Alpes-Côte d'Azur
228,2021-08-17,39.0,Provence-Alpes-Côte d'Azur
229,2021-08-18,32.0,Provence-Alpes-Côte d'Azur
230,2021-08-19,32.0,Provence-Alpes-Côte d'Azur
231,2021-08-20,27.0,Provence-Alpes-Côte d'Azur
232,2021-08-21,25.0,Provence-Alpes-Côte d'Azur
233,2021-08-22,39.0,Provence-Alpes-Côte d'Azur
234,2021-08-23,44.0,Provence-Alpes-Côte d'Azur
235,2021-08-24,21.0,Provence-Alpes-Côte d'Azur
236,2021-08-25,14.0,Provence-Alpes-Côte d'Azur
237,2021-08-26,18.0,Provence-Alpes-Côte d'Azur
238,2021-08-27,32.0,Provence-Alpes-Côte d'Azur
239,2021-08-28,28.0,Provence-Alpes-Côte d'Azur
240,2021-08-29,17.0,Provence-Alpes-Côte d'Azur
241,2021-08-30,18.0,Provence-Alpes-Côte d'Azur
242,2021-08-31,19.0,Provence-Alpes-Côte d'Azur
243,2021-09-01,22.0,Provence-Alpes-Côte d'Azur
244,2021-09-02,24.0,Provence-Alpes-Côte d'Azur
245,2021-09-03,29.0,Provence-Alpes-Côte d'Azur
246,2021-09-04,31.0,Provence-Alpes-Côte d'Azur
247,2021-09-05,27.0,Provence-Alpes-Côte d'Azur
248,2021-09-06,29.0,Provence-Alpes-Côte d'Azur
249,2021-09-07,37.0,Provence-Alpes-Côte d'Azur
250,2021-09-08,44.0,Provence-Alpes-Côte d'Azur
251,2021-09-09,47.0,Provence-Alpes-Côte d'Azur
252,2021-09-10,50.0,Provence-Alpes-Côte d'Azur
253,2021-09-11,45.0,Provence-Alpes-Côte d'Azur
254,2021-09-12,44.0,Provence-Alpes-Côte d'Azur
255,2021-09-13,38.0,Provence-Alpes-Côte d'Azur
256,2021-09-14,29.0,Provence-Alpes-Côte d'Azur
257,2021-09-15,36.0,Provence-Alpes-Côte d'Azur
258,2021-09-16,28.0,Provence-Alpes-Côte d'Azur
259,2021-09-17,20.0,Provence-Alpes-Côte d'Azur
260,2021-09-18,20.0,Provence-Alpes-Côte d'Azur
261,2021-09-19,17.0,Provence-Alpes-Côte d'Azur
262,2021-09-20,9.0,Provence-Alpes-Côte d'Azur
263,2021-09-21,9.0,Provence-Alpes-Côte d'Azur
264,2021-09-22,18.0,Provence-Alpes-Côte d'Azur
265,2021-09-23,28.0,Provence-Alpes-Côte d'Azur
266,2021-09-24,27.0,Provence-Alpes-Côte d'Azur
267,2021-09-25,28.0,Provence-Alpes-Côte d'Azur
268,2021-09-26,33.0,Provence-Alpes-Côte d'Azur
269,2021-09-27,48.0,Provence-Alpes-Côte d'Azur
270,2021-09-28,47.0,Provence-Alpes-Côte d'Azur
271,2021-09-29,42.0,Provence-Alpes-Côte d'Azur
272,2021-09-30,31.0,Provence-Alpes-Côte d'Azur
273,2021-10-01,29.0,Provence-Alpes-Côte d'Azur
274,2021-10-02,32.0,Provence-Alpes-Côte d'Azur
275,2021-10-03,35.0,Provence-Alpes-Côte d'Azur
276,2021-10-04,29.0,Provence-Alpes-Côte d'Azur
277,2021-10-05,29.574744661095636,Provence-Alpes-Côte d'Azur
278,2021-10-06,29.574744661095636,Provence-Alpes-Côte d'Azur
279,2021-10-07,28.0,Provence-Alpes-Côte d'Azur
280,2021-10-08,15.0,Provence-Alpes-Côte d'Azur
281,2021-10-09,22.0,Provence-Alpes-Côte d'Azur
282,2021-10-10,33.0,Provence-Alpes-Côte d'Azur
283,2021-10-11,36.0,Provence-Alpes-Côte d'Azur
284,2021-10-12,37.0,Provence-Alpes-Côte d'Azur
285,2021-10-13,30.0,Provence-Alpes-Côte d'Azur
286,2021-10-14,23.0,Provence-Alpes-Côte d'Azur
287,2021-10-15,24.0,Provence-Alpes-Côte d'Azur
288,2021-10-16,28.0,Provence-Alpes-Côte d'Azur
289,2021-10-17,30.0,Provence-Alpes-Côte d'Azur
290,2021-10-18,36.0,Provence-Alpes-Côte d'Azur
291,2021-10-19,33.0,Provence-Alpes-Côte d'Azur
292,2021-10-20,34.0,Provence-Alpes-Côte d'Azur
293,2021-10-21,31.0,Provence-Alpes-Côte d'Azur
294,2021-10-22,23.0,Provence-Alpes-Côte d'Azur
295,2021-10-23,31.0,Provence-Alpes-Côte d'Azur
296,2021-10-24,32.0,Provence-Alpes-Côte d'Azur
297,2021-10-25,28.0,Provence-Alpes-Côte d'Azur
298,2021-10-26,39.0,Provence-Alpes-Côte d'Azur
299,2021-10-27,37.0,Provence-Alpes-Côte d'Azur
300,2021-10-28,35.0,Provence-Alpes-Côte d'Azur
301,2021-10-29,48.0,Provence-Alpes-Côte d'Azur
302,2021-10-30,39.0,Provence-Alpes-Côte d'Azur
303,2021-10-31,21.0,Provence-Alpes-Côte d'Azur
304,2021-11-01,17.0,Provence-Alpes-Côte d'Azur
305,2021-11-02,18.0,Provence-Alpes-Côte d'Azur
306,2021-11-03,23.0,Provence-Alpes-Côte d'Azur
307,2021-11-04,22.0,Provence-Alpes-Côte d'Azur
308,2021-11-05,16.0,Provence-Alpes-Côte d'Azur
309,2021-11-06,22.0,Provence-Alpes-Côte d'Azur
310,2021-11-07,24.0,Provence-Alpes-Côte d'Azur
311,2021-11-08,38.0,Provence-Alpes-Côte d'Azur
312,2021-11-09,21.0,Provence-Alpes-Côte d'Azur
313,2021-11-10,23.0,Provence-Alpes-Côte d'Azur
314,2021-11-11,17.0,Provence-Alpes-Côte d'Azur
315,2021-11-12,35.0,Provence-Alpes-Côte d'Azur
316,2021-11-13,37.0,Provence-Alpes-Côte d'Azur
317,2021-11-14,27.0,Provence-Alpes-Côte d'Azur
318,2021-11-15,26.0,Provence-Alpes-Côte d'Azur
319,2021-11-16,24.0,Provence-Alpes-Côte d'Azur
320,2021-11-17,40.0,Provence-Alpes-Côte d'Azur
321,2021-11-18,27.0,Provence-Alpes-Côte d'Azur
322,2021-11-19,28.0,Provence-Alpes-Côte d'Azur
323,2021-11-20,29.0,Provence-Alpes-Côte d'Azur
324,2021-11-21,40.0,Provence-Alpes-Côte d'Azur
325,2021-11-22,38.0,Provence-Alpes-Côte d'Azur
326,2021-11-23,30.0,Provence-Alpes-Côte d'Azur
327,2021-11-24,20.0,Provence-Alpes-Côte d'Azur
328,2021-11-25,16.0,Provence-Alpes-Côte d'Azur
329,2021-11-26,20.0,Provence-Alpes-Côte d'Azur
330,2021-11-27,21.0,Provence-Alpes-Côte d'Azur
331,2021-11-28,18.0,Provence-Alpes-Côte d'Azur
332,2021-11-29,19.0,Provence-Alpes-Côte d'Azur
333,2021-11-30,34.0,Provence-Alpes-Côte d'Azur
334,2021-12-01,16.0,Provence-Alpes-Côte d'Azur
335,2021-12-02,39.0,Provence-Alpes-Côte d'Azur
336,2021-12-03,21.0,Provence-Alpes-Côte d'Azur
337,2021-12-04,14.0,Provence-Alpes-Côte d'Azur
338,2021-12-05,20.0,Provence-Alpes-Côte d'Azur
339,2021-12-06,20.0,Provence-Alpes-Côte d'Azur
340,2021-12-07,38.0,Provence-Alpes-Côte d'Azur
341,2021-12-08,29.0,Provence-Alpes-Côte d'Azur
342,2021-12-09,19.0,Provence-Alpes-Côte d'Azur
343,2021-12-10,9.0,Provence-Alpes-Côte d'Azur
344,2021-12-11,27.0,Provence-Alpes-Côte d'Azur
345,2021-12-12,26.0,Provence-Alpes-Côte d'Azur
346,2021-12-13,24.0,Provence-Alpes-Côte d'Azur
347,2021-12-14,32.0,Provence-Alpes-Côte d'Azur
348,2021-12-15,35.0,Provence-Alpes-Côte d'Azur
349,2021-12-16,28.0,Provence-Alpes-Côte d'Azur
350,2021-12-17,32.0,Provence-Alpes-Côte d'Azur
351,2021-12-18,28.0,Provence-Alpes-Côte d'Azur
352,2021-12-19,26.0,Provence-Alpes-Côte d'Azur
353,2021-12-20,31.0,Provence-Alpes-Côte d'Azur
354,2021-12-21,43.0,Provence-Alpes-Côte d'Azur
355,2021-12-22,49.0,Provence-Alpes-Côte d'Azur
356,2021-12-23,34.0,Provence-Alpes-Côte d'Azur
357,2021-12-24,31.0,Provence-Alpes-Côte d'Azur
358,2021-12-25,21.0,Provence-Alpes-Côte d'Azur
359,2021-12-26,20.0,Provence-Alpes-Côte d'Azur
360,2021-12-27,23.0,Provence-Alpes-Côte d'Azur
361,2021-12-28,29.0,Provence-Alpes-Côte d'Azur
362,2021-12-29,37.0,Provence-Alpes-Côte d'Azur
363,2021-12-30,43.0,Provence-Alpes-Côte d'Azur
364,2021-12-31,48.0,Provence-Alpes-Côte d'Azur
365,2022-01-01,45.0,Provence-Alpes-Côte d'Azur
366,2022-01-02,43.0,Provence-Alpes-Côte d'Azur
